accession_number,dataset_url,dataset_name,made_public,most_recent_snapshot,num_subjects,modalities,dx_status,ages,tasks,num_trials,study_design,domain_studied,longitudinal,processed_data,species,nondefaced_consent,affirmed_defaced,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author,size_gb
ds002726,https://openneuro.org/datasets/ds002726/versions/1.0.1,Structural brain network of gifted children,2020-05-19,2020-04-27,29,MRI - anat,"Healthy/Control, gifted children",,,,,brain networks in children,No,n/a,Human,n/a,n/a,10.1007/s00429-019-01914-9,,"Bullmore, Edward T.",0.31
ds002727,https://openneuro.org/datasets/ds002727/versions/1.0.2,EMOTIVE IDIOMS,2020-05-05,2020-05-05,23,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",silentreading,100,,Idiomatic expressions and emotion,No,n/a,Human,n/a,n/a,10.1016/j.neuropsychologia.2019.05.020,,"Jacobs, Arthur",3.44
ds002731,https://openneuro.org/datasets/ds002731/versions/1.0.2,DRM False Memory,2020-05-19,2021-10-16,59,"MRI - func, MRI - anat",Healthy / Control,18-25,"retrieval, encoding",,,"False memory, DRM",No,n/a,Human,n/a,n/a,10.3758/s13421-013-0300-2,,"Xue, Gui",13.02
ds002732,https://openneuro.org/datasets/ds002732/versions/1.0.0,,2020-04-24,2020-04-24,30,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",rating,,,,No,n/a,Human,n/a,n/a,,,"Tobler, Philippe N.",9.06
ds002733,https://openneuro.org/datasets/ds002733/versions/1.0.1,Bids Pilot Project,2020-05-19,2020-04-27,1,"MRI - anat, MRI - func",,,rest,,,,No,n/a,Human,n/a,n/a,,,"Test, ",0.08
ds002734,https://openneuro.org/datasets/ds002734/versions/1.0.2,Evidence Accumulation in Value-Based decisions,2020-04-30,2020-04-29,22,"MRI - func, MRI - anat",Healthy / Control,,main,,,value-based decisions,No,n/a,Human,n/a,n/a,10.1038/ncomms15808,,"Philiastides, M",3.79
ds002735,https://openneuro.org/datasets/ds002735/versions/1.0.2,Headmold,2020-05-19,2020-09-24,11,"MRI - func, MRI - anat",Healthy / Control,,rest,,Customized head molds,reduce motion,No,n/a,Human,n/a,n/a,10.1016/j.neuroimage.2019.01.016,,"Jones, Rebecca M.",8.65
ds002737,https://openneuro.org/datasets/ds002737/versions/1.0.1,multibandCFtests,2020-05-19,2020-04-27,1,"MRI - func, MRI - anat",Healthy / Control,,"Stroop, notStroop",,,Dual Mechanisms of Cognitive Control,No,n/a,Human,n/a,n/a,,,"Braver, Todd S.",3.38
ds002738,https://openneuro.org/datasets/ds002738/versions/1.0.2,rewardBeast,2020-04-29,2021-05-07,36,"MRI - func, MRI - anat",Healthy / Control,,"reward, rest, epi",,,,No,n/a,Human,n/a,n/a,10.1523/JNEUROSCI.0075-18.2018,,"Poldrack, Russell A.",78.48
ds002739,https://openneuro.org/datasets/ds002739/versions/1.0.0,Simultaneous EEG-fMRI - Confidence in perceptual decisions,2020-05-19,2020-05-05,24,"MRI - func, MRI - anat",Healthy / Control,,main,157,multimodal,decision formulation,No,n/a,Human,n/a,n/a,10.7554/eLife.38293,,"Philiastides, Marios G.",7.11
ds002741,https://openneuro.org/datasets/ds002741/versions/1.0.2,Animated caricatures fMRI study,2020-05-19,2020-04-27,30,"MRI - func, MRI - anat",Healthy / Control,,Caricatures,,repeated measures,,No,n/a,Human,n/a,n/a,"10.1016/j.neuroimage.2017.06.023, 10.1016/j.cogpsych.2019.02.002, 10.1523/JNEUROSCI.3621-15.2016, 10.1016/j.neuropsychologia.2015.10.010, 10.1093/cercor/bhu083, 10.1523/JNEUROSCI.2992-13.2013, 10.1523/JNEUROSCI.1992-12.2012",,"Wooley, C",42.97
ds002743,https://openneuro.org/datasets/ds002743/versions/1.0.1,TEST1,2020-05-19,2020-04-27,3,MRI - anat,,26-34,,,,,No,n/a,Human,n/a,n/a,,,"AR, ",0.03
ds002748,https://openneuro.org/datasets/ds002748/versions/1.0.5,Resting state with closed eyes for patients with depression and healthy participants,2020-04-28,2021-08-03,72,"MRI - anat, MRI - func",Depression,"18-25, 26-34, 35-50, 51-65",resting state with closed eyes,,,FMRI,No,n/a,Human,No,Yes,10.1155/2021/8846097," Bezmaternykh D.D., Melnikov M.Y., Savelov A.A. et al. Brain Networks Connectivity in Mild to Moderate Depression: Resting State fMRI Study with Implications to Nonpharmacological Treatment. Neural Plasticity, 2021. V. 2021. № 8846097. PP. 1-15. DOI: 10.1155/2021/8846097","ED, Petrovskii",2.27
ds002750,https://openneuro.org/datasets/ds002750/versions/1.0.1,YanDataBIDS,2020-04-28,2020-04-28,3,"MRI - func, MRI - anat",,,rest,,,,No,n/a,,n/a,n/a,,,"Yan, Chao-Gan",0.13
ds002761,https://openneuro.org/datasets/ds002761/versions/1.1.2,memoryreplay,2020-05-15,2022-11-18,25,MEG,Healthy / Control,,Memory,,,MEG,No,n/a,Human,Yes,No,,,"Dolan, Raymond J.",0.0
ds002766,https://openneuro.org/datasets/ds002766/versions/3.0.2,Cast-induced plasticity,2020-06-16,2020-07-30,3,"MRI - func, MRI - anat",Healthy / Control,,"Motor, rest, REST",,Resting-state,Disuse,Yes,n/a,Human,n/a,n/a,https://doi.org/10.1016/j.neuron.2020.05.007,"Newbold et al., Plasticity and Spontaneous Activity Pulses in Disused Human Brain Circuits, Neuron (2020), https:// doi.org/10.1016/j.neuron.2020.05.007","Dosenbach, Nico U.F.",177.42
ds002770,https://openneuro.org/datasets/ds002770/versions/2.0.0,Brain mechanisms underlying episodic future thinking of sustainable behaviors,2020-04-30,2020-05-02,86,"T1w, bold, events, fieldmap",Healthy / Control,,cueexposure,72,Within-Group ,Sustainable behaviors - episodic future thinking,No,n/a,Human,n/a,n/a,,Under review,"Billieux, Joël",27.6
ds002773,https://openneuro.org/datasets/ds002773/versions/1.0.0,Retrieval practice facilitates memory updating by enhancing and differentiating medial prefrontal cortex representations,2020-05-06,2020-05-03,19,"MRI - func, MRI - anat",Healthy / Control,"11-17, 18-25","updating, localizer, retrieval",,,,No,n/a,Human,n/a,n/a,,,"Xue, Gui",80.7
ds002776,https://openneuro.org/datasets/ds002776/versions/1.0.2,Motor sequence learning,2020-05-12,2020-07-13,26,"MRI - func, MRI - anat",,"18-25, 26-34",motorseq,,"longitudinal, within-subject",motor learning,Yes,n/a,Human,n/a,n/a,10.1101/2020.01.08.899229,https://www.biorxiv.org/content/10.1101/2020.01.08.899229v2.full,"Diedrichsen, Jörn",170.03
ds002778,https://openneuro.org/datasets/ds002778/versions/1.0.5,UC San Diego Resting State EEG Data from Patients with Parkinson's Disease,2020-05-06,2021-12-10,31,EEG,Parkinson's Disease,"35-50, 51-65, 66+",rest,,Resting State,Parkinson's Disease,No,n/a,Human,n/a,n/a,"10.1523/ENEURO.0151-19.2019, 10.1016/j.nicl.2013.07.013","Nicko Jackson, Scott R. Cole, Bradley Voytek, Nicole C. Swann. Characteristics of Waveform Shape in Parkinson's Disease Detected with Scalp Electroencephalography. eNeuro 20 May 2019, 6 (3) ENEURO.0151-19.2019; DOI: 10.1523/ENEURO.0151-19.2019.  George JS, Strunk J, Mak-McCully R, Houser M, Poizner H, Aron AR. Dopaminergic therapy in Parkinson's disease decreases cortical beta band coherence in the resting state and increases cortical beta band power during executive control. Neuroimage Clin. 2013 Aug 8;3:261-70. doi: 10.1016/j.nicl.2013.07.013. PMID: 24273711; PMCID: PMC3814961.","Swann, Nicole C.",0.53
ds002785,https://openneuro.org/datasets/ds002785/versions/2.0.0,AOMIC-PIOP1,2020-05-24,2020-07-21,216,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,"18-25, 26-34","anticipation, emomatching, gstroop, faces, restingstate, workingmemory",,,,No,n/a,Human,n/a,n/a,,To be released on Biorxiv,"Scholte, Steven",117.69
ds002790,https://openneuro.org/datasets/ds002790/versions/2.0.0,Put the name of your experiment here,2020-05-24,2020-07-21,226,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,18-25,"restingstate, workingmemory, stopsignal, emomatching",,,,No,n/a,Human,n/a,n/a,,To be released on Biorxiv,"Scholte, Steven",53.0
ds002791,https://openneuro.org/datasets/ds002791/versions/1.0.0,DataSet1,2020-07-17,2020-05-14,23,"channels, eeg, electrodes, events",,"18-25, 26-34, 35-50",,,,,No,n/a,Human,n/a,n/a,,,"Hassan, Mahmoud",47.09
ds002793,https://openneuro.org/datasets/ds002793/versions/1.0.1,updating following strong vs weak priors,2020-05-17,2020-05-17,28,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","tom, tps",,,,No,n/a,Human,n/a,n/a,,,"Young, Liane",8.84
ds002797,https://openneuro.org/datasets/ds002797/versions/1.0.2,CCD,2020-05-15,2020-05-15,22,"MRI - func, MRI - anat",,26-34,Main,,,,No,n/a,,n/a,n/a,,,"Egner, Tobias",9.77
ds002799,https://openneuro.org/datasets/ds002799/versions/1.0.4,Human es-fMRI Resource: Concurrent deep-brain stimulation and whole-brain functional MRI,2020-05-18,2021-08-25,26,"MRI - func, MRI - anat, iEEG",,"11-17, 18-25, 26-34, 35-50, 51-65","es, rest",,,,No,n/a,Human,n/a,n/a,,,"*equally contributing, †corresponding author",18.57
ds002813,https://openneuro.org/datasets/ds002813/versions/1.0.0,Model-based fMRI reveals co-existing specific and generalized concept representations,2020-12-16,2020-05-19,38,"MRI - func, MRI - anat",,"18-25, 26-34","imtest, fintest, train",,,categorization,No,n/a,Human,n/a,n/a,10.7554/eLife.59360,Tracking prototype and exemplar representations in the brain across learning,"Zeithamova, D.",91.78
ds002814,https://openneuro.org/datasets/ds002814/versions/1.3.0,TODO: name of the dataset,2020-11-22,2021-12-10,21,"MRI - func, MRI - anat, EEG",,"18-25, 26-34","task-categorySelectivity, categorySelectivity, TODO: full task name for categorySelectivity",,,,No,n/a,Human,n/a,n/a,,,"Khaligh-Razavi, Seyed-Mahdi",27.73
ds002833,https://openneuro.org/datasets/ds002833/versions/1.0.0,DataSet2,2020-07-17,2020-07-20,20,"channels, eeg, electrodes, events",,"18-25, 35-50",PicturesNaming,,,,No,n/a,,n/a,n/a,,,"Hassan, Mahmoud",39.77
ds002835,https://openneuro.org/datasets/ds002835/versions/1.0.1,Prospection,2021-02-02,2021-08-19,26,"MRI - func, MRI - anat",,,Prospection,,,,No,n/a,,n/a,n/a,,,"Kable, Joseph",4.98
ds002837,https://openneuro.org/datasets/ds002837/versions/2.0.0,Naturalistic Neuroimaging Database,2020-05-26,2021-04-20,86,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65","500daysofsummer, 12yearsaslave, citizenfour, theusualsuspects, pulpfiction, theshawshankredemption, theprestige, backtothefuture, split, littlemisssunshine",,,,No,n/a,Human,n/a,n/a,,,"Skipper, Jeremy I",89.11
ds002841,https://openneuro.org/datasets/ds002841/versions/1.0.1,Intuitive physics with fMRI,2020-06-01,2020-05-27,29,"MRI - func, MRI - anat",Healthy / Control,,"masstask, massfriction, masscolor, Localizer",,,,No,n/a,Human,n/a,n/a,10.7554/eLife.46619,,"Kanwisher, Nancy",7.58
ds002842,https://openneuro.org/datasets/ds002842/versions/1.0.1,L2_SENTENCES,2020-06-01,2020-05-27,22,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",silentreading,,event-related fMRI,Language,No,n/a,Human,n/a,n/a,10.1016/j.neuropsychologia.2020.107381,,"Goldberg, Adele E",1.85
ds002843,https://openneuro.org/datasets/ds002843/versions/1.0.1,Cognitive Training,2021-05-08,2021-08-19,166,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34","risk choice task, intertemporal choice task, rest",,,,No,n/a,Human,n/a,n/a,https://doi.org/10.1523/JNEUROSCI.2832-16.2017,"Kable, J. W., Caulfield, M. K., Falcone, M., McConnell, M., Bernardo, L., Parthasarathi, T., Cooper, N., Ashare, R., Audrain-McGovern, J., Hornik, R., Diefenback, P., Lee, F., and Lerman, C. (2017). No effect of commercial cognitive training on brain activity, choice behavior or cognitive performance. Journal of Neuroscience, 37(31), 7390-7402.","Kable, Joseph",85.41
ds002848,https://openneuro.org/datasets/ds002848/versions/1.0.1,mriquality,2020-06-01,2020-05-27,5,"MRI - func, MRI - anat",,"18-25, 26-34",Resting state fMRI,,,,No,n/a,Human,n/a,n/a,,,"Maxim, Omar",5.05
ds002868,https://openneuro.org/datasets/ds002868/versions/1.0.1,CAMRI Mouse Brain MRI Data,2020-06-01,2021-06-15,16,MRI - anat,,,,,,,No,n/a,Mouse,n/a,n/a,,,"Shih, Yenyu Ian",0.02
ds002870,https://openneuro.org/datasets/ds002870/versions/1.0.1,CAMRI Rat Brain MRI Data,2020-06-01,2021-06-15,132,MRI - anat,,,,,,,No,n/a,Rat,n/a,n/a,,,"Shih, Yenyu Ian",0.3
ds002872,https://openneuro.org/datasets/ds002872/versions/1.3.0,Aging,2020-06-11,2020-06-12,39,"MRI - func, MRI - anat",,"18-25, 26-34, 51-65, 66+","illusion, rest",,,,No,n/a,,n/a,n/a,,,"Kavounoudias, Anne",36.7
ds002873,https://openneuro.org/datasets/ds002873/versions/1.0.0,"Neural mechanisms of musical syntax and tonality, and the effect of musicianship",2020-06-04,2020-06-01,36,"MRI - func, MRI - anat",,,music,,,,No,n/a,,n/a,n/a,,,"Cai, Qing",9.23
ds002878,https://openneuro.org/datasets/ds002878/versions/2.0.0,Creative desicion making in soccer ,2020-09-29,2021-11-17,35,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",soccer,,,,No,n/a,Human,n/a,n/a,,,"..., ",21.72
ds002879,https://openneuro.org/datasets/ds002879/versions/1.1.1,Brain Correlates of Multisensory Lexical Processing in Adults,2020-06-09,2023-01-26,32,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","Audio-Audio Non-Word Rhyming, Visual-Visual Non-Word Rhyming, Visual-Visual Word Rhyming, Audio-Audio Word Rhyming",,Event Related,Reading,No,n/a,Human,n/a,n/a,10.1002/hbm.22147; 10.1111/desc.12245,"Brennan, C., Cao, F., Pedroareana-Leal, N., McNorgan, C. & Booth, J. R. Reading acquisition reorganizes the phonological awareness network only in alphabetic systems. Human Brain Mapping. 34, 3354-3368 (2013)., Cao, F., Brennan, C. & Booth, J. R. The brain adapts to orthography with experience: Evidence from English and Chinese. Developmental Science. 18, 785-798 (2015).","Younger, Jessica Wise",25.74
ds002885,https://openneuro.org/datasets/ds002885/versions/1.0.1,DBS Phantom Recordings,2020-06-24,2020-06-24,2,"coordsystem, channels, meg, 14, 13, 02, 01",,,"DSMW, EmptyRoom, Reference, DMW",,,,No,n/a,MEG DBS Phantom,n/a,n/a,,,"Florin, Esther",20.06
ds002886,https://openneuro.org/datasets/ds002886/versions/1.1.0,Brain Development of Deductive Reasoning,2020-06-09,2021-08-09,56,"MRI - func, MRI - anat",Healthy / Control,,"Syllogistic Reasoning, Transitive Reasoning",,Event Related,Deductive Reasoning,Yes,n/a,Human,n/a,n/a,10.1093/cercor/bhr389; 10.1002/hbm.22681,"Prado J, Mutreja R & Booth JR (2013). Fractionating the neural substrates of deductive reasoning: Task-dependent contributions of spatial and verbal representations. Cerebral Cortex, 23, 499-507.; Mathieu R, Booth JR & Prado J (2015). Distributed neural representations of logical arguments in school-age children. Human Brain Mapping, 36, 996-1009.","Prado, Jérôme",18.62
ds002893,https://openneuro.org/datasets/ds002893/versions/2.0.0,Auditory-Visual Shift Study,2020-06-29,2022-06-18,49,EEG,,"18-25, 26-34, 35-50, 51-65, 66+",AuditoryVisualShift,,,,No,n/a,,n/a,n/a,,,"(curation), Arno Delorme",7.7
ds002896,https://openneuro.org/datasets/ds002896/versions/1.0.0,Resting State fMRI study of non bothersome tinnitus,2020-06-17,2020-06-17,38,"MRI - anat, MRI - func",Tinnitus / Controls,,Rest,1,Resting State fMRI ,Neuroimaging correlates of tinnitus,No,n/a,Human,n/a,n/a,10.1089/brain.2019.0712 https://doi.org/10.1101/676429 doi: 10.1007/s00429-014-0944-0 10.1002/hbm.21063 ,10.1089/brain.2019.0712 https://doi.org/10.1101/676429 ,"Delon-Martin, Chantal",3.78
ds002898,https://openneuro.org/datasets/ds002898/versions/1.4.2,Monash rsPET-MR,2020-06-17,2024-03-18,27,"MRI - func, MRI - anat, PET_Dynamic, PET",Healthy / Control,18-25,rest,,Resting state,Brain activity,No,n/a,Human,n/a,n/a,https://doi.org/10.1101/2020.05.01.071662,"Jamadar, S.D., Ward, P.G.D., Liang, E.X., Orchard, W.R., Chen, Z., Egan, G., 2020. Metabolic and haemodynamic resting-state connectivity of the human brain: a high-temporal resolution simultaneous BOLD-fMRI and FDG-fPET multimodality study (preprint). Neuroscience. https://doi.org/10.1101/2020.05.01.071662","Egan, Gary F.",48.88
ds002905,https://openneuro.org/datasets/ds002905/versions/1.0.1,simpcomp,2020-07-21,2020-07-21,18,"MRI - func, MRI - anat",Healthy / Control,,"languagelocalizer, maintask",,,language,No,n/a,Human,n/a,n/a,,,"Bonnasse-Gahot, Laurent",104.63
ds002908,https://openneuro.org/datasets/ds002908/versions/1.0.0,Human MEG recordings during sequential conflict task,2020-09-07,2020-08-04,13,MEG,Parkinson's Disease,,mouse,,Repeated Measures x Group,Decision Making,No,n/a,Human,n/a,n/a,,https://www.biorxiv.org/content/10.1101/2020.06.09.141713v1,"Litvak, Vladimir",59.79
ds002936,https://openneuro.org/datasets/ds002936/versions/1.0.0,Neuroharmony sample exanple,2020-07-28,2020-08-20,3,MRI - anat,,,,,,Structural MRI,No,n/a,Human,n/a,n/a,,Neuroharmony: A new tool for harmonizing volumetric MRI data from unseen scanners,"Garcia-Dias, Rafael",0.03
ds002938,https://openneuro.org/datasets/ds002938/versions/1.0.1,Task-Dependent Effort-Induced Connectivity,2020-06-26,2022-05-29,30,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","1back, effort, 1back task, effort task",360,Within Subjects,Cognitive Neuroscience,No,n/a,Human,n/a,n/a,,https://doi.org/10.1523/JNEUROSCI.2948-19.2020,"Verguts, Tom",6.11
ds002940,https://openneuro.org/datasets/ds002940/versions/1.0.1,SoccerCAN,2020-06-26,2020-06-26,24,"MRI - anat, MRI - func",,,rest,,,,Yes,n/a,Human,n/a,n/a,,,"Keator, DB",5.73
ds002979,https://openneuro.org/datasets/ds002979/versions/1.0.0,narrative listening,2022-12-13,2020-06-29,1,"T1w, bold, fieldmap",,,narrative,,,,No,n/a,,No,No,,,"Zhang, Ruiqing",0.85
ds002982,https://openneuro.org/datasets/ds002982/versions/1.0.0,_test_julien,2020-06-29,2020-06-29,1,MRI - anat,,,,,,,No,n/a,,n/a,n/a,,,"Bear, BIDS the",0.01
ds002989,https://openneuro.org/datasets/ds002989/versions/1.0.0,Delay Discounting Bidding,2022-09-18,2020-06-30,40,"T1w, bold, events",,,delay discounting bidding task,104,,,No,n/a,Human,n/a,n/a,https://doi.org/10.1523/JNEUROSCI.0400-13.2013,"Cooper, N., Kable, J. W., Kim, B. K., & Zauberman, G. (2013). Brain activity in valuation regions while thinking about the future predicts individual discount rates. Journal of Neuroscience, 33(32), 13150-13156.","Kable, Joseph",5.63
ds002994,https://openneuro.org/datasets/ds002994/versions/1.0.3,fribbles_fmri,2020-07-17,2022-07-07,56,"MRI - func, MRI - anat",,,"fLoc, fribBids",,,Neuroscience,No,n/a,Human,No,Yes,10.1523/JNEUROSCI.0241-21.2021,10.1523/JNEUROSCI.0241-21.2021,"Schonberg, Tom",165.24
ds002995,https://openneuro.org/datasets/ds002995/versions/1.0.1,Taste Quality Representation in the Human Brain,2020-07-07,2020-07-08,18,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",Taste Mapping,16,Block,Taste,No,n/a,Human,n/a,n/a,https://doi.org/10.1523/JNEUROSCI.1751-19.2019,"Avery et al. 2020, Taste Quality Representation in the Human Brain, The Journal of Neuroscience, January 29, 2020 40(5):1042–1052","Martin, Alex",52.78
ds003004,https://openneuro.org/datasets/ds003004/versions/1.1.1,Emotion Study,2020-07-10,2022-08-23,34,EEG,,,ImaginedEmotion,,,,No,n/a,,n/a,n/a,,,"Makeig, Scott",36.05
ds003007,https://openneuro.org/datasets/ds003007/versions/1.0.1,"Two sessions of resting state with closed eyes for patients with depression in treatment course (NFB, CBT or No treatment groups)",2020-07-10,2021-08-03,29,"MRI - func, MRI - anat",Depression,"18-25, 26-34, 35-50, 51-65",resting state with closed eyes,2,,FMRI,No,n/a,Human,n/a,n/a,,,"ED, Petrovskii",1.79
ds003011,https://openneuro.org/datasets/ds003011/versions/1.2.3,Social Processes Initiative in Neurobiology of the Schizophrenia(s) Traveling Human Phantoms,2021-03-15,2021-08-25,4,"MRI - dwi, MRI - anat, MRI - func",,,rest eyes closed,,,,Yes,n/a,Human,n/a,n/a,,,"Voineskos, Aristotle",3.84
ds003012,https://openneuro.org/datasets/ds003012/versions/1.0.4,action-in-auctions,2020-07-15,2021-01-18,29,"MRI - func, MRI - anat",,"18-25, 26-34",double auction,,,,No,n/a,Human,n/a,n/a,,,"Klucharev, V.",8.36
ds003017,https://openneuro.org/datasets/ds003017/versions/1.0.3,Budapest,2020-07-15,2020-11-11,25,"MRI - func, MRI - anat",,"18-25, 26-34","movie, movie watching task",,,,No,n/a,Human,n/a,n/a,,,"Gobbini, M. Ida",26.04
ds003020,https://openneuro.org/datasets/ds003020/versions/3.0.0,An MRI dataset during a passive natural language listening tast,2021-11-08,2024-12-18,9,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","theinterview, buck, penpal, theadvancedbeginner, thepostmanalwayscalls, thetriangleshirtwaistconnection, naked, cautioneating, threemonths, theshower, sloth, Category Localizer, fromboyhoodtofatherhood, reachingoutbetweenthebars, goldiethegoldfish, tildeath, breakingupintheageofgoogle, leavingbaghdad, mayorofthefreaks, thumbsup, alternateithicatom, beneaththemushroomcloud, metsmagic, undertheinfluence, swimmingwithastronauts, lifeanddeathontheoregontrail, howtodraw, forgettingfear, food, ifthishaircouldtalk, exorcism, cocoonoflove, stagefright, legacy, haveyoumethimyet, Motor Localizer, avatar, golfclubbing, whenmothersbullyback, lifereimagined, itsabox, wildwomenanddancingqueens, listo, myfathershands, thecurse, adollshouse, waitingtogo, backsideofthestorm, thefreedomridersandme, christmas1940, catfishingstrangerstofindmyself, shoppinginchina, goingthelibertyway, myfirstdaywiththeyankees, odetostepfather, birthofanation, afatherscover, Audio Motor Localizer, againstthewind, superheroesjustforeachother, eyespy, firetestforlove, kiksuya, bluehope, sweetaspie, adventuresinsayingyes, singlewomanseekingmanwich, notontheusualtour, becomingindian, comingofageondeathrow, thatthingonmyarm, gpsformylostidentity, Auditory Localizer, inamoment, theclosetthatateeverything, gangstersandcookies, jugglingandjesus, souls, wheretheressmoke, thetiniestbouquet, vixenandtheussr, treasureisland, quietfire, mybackseatviewofagreatromance, hangtime, stumblinginthedark, life, onlyonewaytofindout",,,Language processing,No,n/a,Human,No,Yes,,,"Huth, Alexander G.",127.33
ds003027,https://openneuro.org/datasets/ds003027/versions/1.2.0,plp_nf1_dMRI_fMRI,2020-08-12,2021-01-29,23,"MRI - func, MRI - anat, MRI - dwi",,,rest,,,,No,n/a,,n/a,n/a,,,"Kahn, Itamar",61.45
ds003029,https://openneuro.org/datasets/ds003029/versions/1.0.7,iEEG Fragility Epileptogenic Zone,2020-12-02,2023-11-28,35,iEEG,Epilepsy,"11-17, 18-25, 26-34, 35-50, 51-65",ictal,,,iEEG,No,n/a,Human,n/a,n/a,https://doi.org/10.1101/862797,Nodal Fragility of Intracranial EEG Networks: Towards an EEG Fingerprint for the Epileptogenic Zone,"Sarma, Sridevi",10.32
ds003037,https://openneuro.org/datasets/ds003037/versions/2.1.0,SUDMEX_TMS: The Mexican dataset of an rTMS clinical trial on cocaine use disorder patients.,2020-07-29,2023-10-31,53,"MRI - dwi, MRI - anat, MRI - func",cocaine use disorder,"18-25, 26-34, 35-50",rest,,Double-blind randomized controlled trial with parallel groups,substance use disorders,Yes,n/a,Human,n/a,n/a,10.1101/2020.07.15.20154708,Clinical and functional connectivity outcomes of 5-Hz repeated transcranial magnetic stimulation as an add-on treatment in cocaine use disorder: a double-blind randomized controlled trial.,"Garza-Villarreal, Eduardo A.",15.13
ds003039,https://openneuro.org/datasets/ds003039/versions/1.0.2,free walking study,2022-05-06,2022-05-06,19,EEG,Healthy / Control,"18-25, 26-34",neurCorrYoung,,,EEG,No,n/a,Human,n/a,n/a,,,"Scanlon, Joanna",7.82
ds003043,https://openneuro.org/datasets/ds003043/versions/1.0.0,Dichoptic Magno/Parvo,2020-09-22,2020-07-31,3,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","exp1, exp2, exp3, exp4",,,,No,n/a,,n/a,n/a,,,"Weldon, Kimberly B.",18.9
ds003047,https://openneuro.org/datasets/ds003047/versions/1.0.0,DTI data from 'Fiber architecture in the ventromedial striatum and its relation with the bed nucleus of the stria terminalis',2020-08-07,2020-08-03,11,"MRI - dwi, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50",,,,DTI of ventral striatum,No,n/a,Human,n/a,n/a,,,"U, Klose",1.5
ds003052,https://openneuro.org/datasets/ds003052/versions/2.0.1,PennMTLAtlas,2020-11-30,2023-09-18,25,MRI - anat,,,,,,Medial Temporal Lobe,No,Yes,Human,n/a,n/a,,,"Yushkevich, Paul",1.68
ds003059,https://openneuro.org/datasets/ds003059/versions/1.0.0,Neural correlates of the LSD experience revealed by multimodal neuroimaging,2020-08-07,2020-08-07,15,"MRI - func, MRI - anat",,,Rest,,Resting State fMRI,Pharmacological fMRI with Lysergic Acid Diethylamide,No,n/a,Human,n/a,n/a,"https://doi.org/10.1073/pnas.1518377113, https://doi.org/10.1016/j.cub.2016.02.010, https://doi.org/10.1007/s00213-015-4014-y, https://doi.org/10.1016/j.euroneuro.2016.03.018, https://doi.org/10.1002/hbm.23234, https://doi.org/10.1038/s41598-017-17546-0",,"al., Robin Carhart-Harris et",14.31
ds003061,https://openneuro.org/datasets/ds003061/versions/1.1.2,P300 sound task,2020-08-19,2022-08-26,13,EEG,,"18-25, 26-34, 35-50, 51-65",P300,,,,No,n/a,,No,Yes,,"Delorme, A. (2020) EEG data from an auditory oddball task. Data archive openneuro.org. 10.18112/openneuro.ds003061.v1.0.0.","Delorme, Arnaud",2.26
ds003076,https://openneuro.org/datasets/ds003076/versions/1.0.1,Brain Correlates of Deductive Reasoning in Adults,2020-08-14,2021-03-21,17,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","Syllogistic Reasoning, Transitive Reasoning",,Event Related,Deductive Reasoning,No,n/a,Human,n/a,n/a,10.1093/cercor/bhr389,"Prado J, Mutreja R, & Booth JR (2012). Fractionating the Neural Substrates of Transitive REasoning: Task-Dependent Contributions of Spatial and Verbal Representations. Cerebral Cortex, 23, 499-507.","Prado, Jérôme",5.65
ds003078,https://openneuro.org/datasets/ds003078/versions/1.0.0,PROBE iEEG,2020-08-17,2020-08-17,6,"MRI - anat, iEEG",Epilepsy,,,2044,ER,executive functions,No,n/a,Human,n/a,n/a,,,"KOECHLIN, Etienne",10.95
ds003082,https://openneuro.org/datasets/ds003082/versions/1.0.1,Auditory Cortex Mapping Dataset,2020-11-30,2021-11-17,1,"MRI - anat, MEG",,18-25,"mapping, noise",,,Auditory cortex,No,n/a,Human,n/a,n/a,,,"Villers-Sidani, Etienne de",13.24
